,tweets
32,"Satu satunya tempat berlindung yang aman saat terjadi gempa dan kamu sedang di kawasan Sudirman:

Tunnel MRT.

Pada siapa mohon perlindungan? Tower-tower berterbangan."
33,"@PembelaNegri @NegriKhayangan @aniesbaswedan @SuaraAnies Mas ngebangun itu ada proses. Solusinya ada, targetnya ada, prosesnya uda berjalan. Apa itu? LRT, MRT, ERP (yg skrg jd kebijakan Gub DKI utk pelaksanaannya, dmn dl nya Jokowi Ahok yg awal memulai). Emang tukang sulap lgsg ada? Nah sm kt jg nunggu solusi yg dipersiapkan anies."
34,@aisyyyyyaaaaaaa Lol i tergelak dlm mrt 😂😂😂😂😂😂
35,@gijasaurus ITU MRT WKWKWKWKWKWK
36,Kalau la aku kurus macam ni..... hari hari balik kolej naik mrt free je. Kahkah https://t.co/3I1B30HnQr
37,"LRT belum siap
MRT masih sangat terbatas
Trans Jakarta juga masih sangat terbatas jangkauan layananannya

Perluasan GaGen hanya akan untungkan pengusaha:
1. Taxi;
2. Taxi-On-Line;
3. Ojek-On-Line

https://t.co/5LYI8gNVvo"
38,@balqisoxaliaa Lagi di MRT donggg td pas gempa:((((
39,"Bisa²nya kita ber3 gak kerasa gempa, padahal yang laen pada panik :( Apa gra² lagi turun tangga di MRT ya. Bener² gk kerasa :("
40,"@AzzFadh Ane pernah liat di mana gitu, proyek bangunan atau MRT ya... lupa hehe"
41,Yang kena gempa lg di basement stasiun mrt gmn ya? Kerasa gak? @askmenfess
42,"Pas gempa tadi w lagi di MRT bawah tanah. Dan berenti bukan distasiun. Didalem otak gue udahlah roboh kaya difilm film. Lalu celingak celinguk cari temen yg kukenal di kereta, biar klo ada apa apa w ga sendirian. Eh galama mrtnya jalaaan"
43,"RT @mrtjakarta: Kereta MRT sempat berhenti beroperasi dan sekarang sudah  kembali beroperasi, namun headway terjadi delay 10 menit 43 detik."
44,@_4L1Y4 naik mrt je la bang. dtg damansara. kan senang. haih.
45,@sukaesgrem Macamaaa 😘 eh kamu mau ke jkt gis? Kapaan? Boleh dong ketemu apinnnn. Btw kalau mau naik MRT juga bisa dr HI turun di istora
46,"@RMaurdya Karunya teu bisa naekeun bbm, naekeun harga mobil motor, ngan saukur bisa naekeun harga parkir😄😃, murahkeun mobil/motor listrik ke 😄😃, genjot fasilitas mrt krl kmaha carana org jdi teu pke sumber polusi,  pabrik2 dll cek emisi? Byar pajak udara bersih mun pabrik ngotoran"
47,"RT @boygeonfroy: Pengen naik mrt,,"
48,"@ayeeesthethic the power of panik sih hahahha, di krl gapapa kan ya tapi? aku ada baca tweet mrt mati gitu beneran gak sih ?"
49,"Pengen naik mrt,,"
50,RT @mrtjakarta: MRT Jakarta sudah beroperasi dengan headway normal 10 menit. Terima kasih
51,RT @martua_sianturi: @HokGie_ @kumparan @mrtjakarta @DKIJakarta @aniesbaswedan Saya tadi lagi di stasiun MRT pas kejadian gempa. Diinfokan…
52,"RT @jokowi: Goresan pertama cucuk canting pada kain batik sepanjang 74 meter di peron Stasiun MRT Bundaran HI, siang ini, sebagai tanda dim…"
53,Later grab driver ajak bbl lakkkk 🤦🏽‍♀️ mrt jela qa
54,"@tomi_hermawan @jansen_jsp @basuki_btp Prabowo sdh naik mrt ... kalah  ya  kalah 

Jadi kampret lagi 5 thn lagi."
55,"@MarikaRahman_ @Matahatikoe_ @aniesbaswedan @jokowi ngeles mlh kliatan dungu mbak. cb tny k mukriwi dia bolak balik naik mrt dr mna dan mo kmn!
yg gk bs krj dn gk bs ngomg justru si mukriwi loh. bsny anu2. kita warga DKI skrg sungguh bhgia mmpunyai p.anis"
56,@HokGie_ @kumparan @mrtjakarta @DKIJakarta @aniesbaswedan Saya tadi lagi di stasiun MRT pas kejadian gempa. Diinfokan 5 menit setelah kejadian kok bahwa operasional berhenti sejenak karena ada gempa.
57,"Ada Gempa, Begini Nasib Penumpang dan Operasional MRT https://t.co/H15VOTkj7r"
58,"MRT Jakarta Mendadak Berhenti Saat Gempa 7,4 SR #uzoneID https://t.co/8cOjYB5BjA"
59,"Model: Used Google Pixel 2XL 64gb Panda🐼
(FULLSET- Box, Fast charge adapter and cable, manual book)
Condition 9/10
Rm1250
Warranty: Sebulan
Cod percuma: Bangi Gateway
Cod berbayar: RM29 stesen ktm/lrt/mrt
Pos J&amp;T: RM10 Semenanjung &amp; RM20 S/Sarawak https://t.co/Fy9rzvd6fW"
60,Perjalanan MRT dan KA Jarak Jauh Terhenti Akibat Gempa di Banten https://t.co/hZMcDrG5z2 https://t.co/g4Ambff4ed
61,Tadi gempa trs gue tbtb mikir; 'yg lg pd nntn bioskop gmn ya?' 'yg lg di MRT sm di KRL gimana ya?'
62,"Di pantai gempa tektonik, di gunung gempa vulkanik. Ada satu gempa lagi, gempa MRT !"
63,"Apasal kat MRT pun ada terngiang ngiang bunyi anak babi whining, aku dah trauma dengan bunyi anak babi. Hahaha"
64,"@NKR_Internet Menggunakan uang negara untuk hal yang lebih penting drpd mrt jakarta
Seperti kota"" wilayah timur indonesia yg  butuh peningkatan"
65,@FerdinandHaean2 @Julian303 anda ke kantor naik mobil pribadi apa transjakarta / mrt… jawab jujur…
66,"RT @detikcom: #BreakingNews Operasional MRT Jakarta sempat berhenti usai gempa. Kini, operasional sudah kembali normal. #mrt #gempa #bmkg…"
67,@AskRapidKL boleh tahu bus T103 akan bergerak jam berapa dari MRT sungai buloh?
68,"RT @detikcom: Guncangan gempa M 7,4 Banten juga dirasakan warga Jakarta yang sedang menumpangi MRT. https://t.co/2NZbY7HC7d"
69,"RT @cnbcindonesia: Gempa Guncang Jakarta, Bikin Kereta MRT Delay https://t.co/bhjOxfTF40"
70,"RT @IrpanPadillah: Goresan pertama cucuk canting pada kain batik sepanjang 74 meter di salah satu peron Stasiun MRT Bundaran HI, Jakarta ht…"
71,"RT @kumparan: Tiba-tiba, MRT berhenti tanpa sebab. Tak ada pemberitahuan juga terkait penyebab berhentinya MRT saat itu. #gempa https://t.c…"
72,@azureeeeen Kalau kau kerja antara lrt ngan mrt kau mesti rasa bersyukur byk kerja kat mrt 😅
73,Naik mrt kene redah damansara kot. Penat oi. Mau sejam lebih.
74,"Gempa Guncang Jakarta, Bikin Kereta MRT Delay https://t.co/bhjOxfTF40"
75,"kalo parkir naik, pajak naik, maka org simpan mobil di rumah dan enak naik MRT atau jalan sehat...sayangnya org melayu utamanya org kita msh suka naik mobil, suka pamer, malas jalan kaki... https://t.co/EUmFjn99nq"
76,@optimushwangcim Sesungguhnya kalo ke taichan yang mesen temen aku sih. Aku tinggal makan doang. Posisinya tuh di yang paling belakang deket perbatasan yang ada warung di baliknya (?) Duh aku terakhir ke sana jaman mrt masih dibangun 😭😭😭
77,Suasana MRT jakarta pasca gempa 7.4 SR di Banten https://t.co/WhnHEDoJnF
78,"MRT perlukan perhatian pula malam ni... 
Silalah bergerak 😅"
79,ni mrt ke sauna
80,"Sesaat sebelum gempa, aku pikir stasiun MRT memang bergoyang kalau kita ada di bawahnya. Saya sedang berpose di MRT Cipete Raya ikut mendoakan semoga semua dalam keadaan baik-baik saja, selamat, sejahtera dan sentosa. Aaammmiiiin.

@mrtjkt 

#gempa
#mrt https://t.co/8gJs7civkq"
81,"@effx8 Aah, nak naik MRT. Kajang dia announce, nasib baik. Haha"
82,@hafizuddingh Tengok live location kat mana. Naik MRT ke dekat Kajang?
83,hari ini merasakan menjadi tynakanna (dan mungkin influencer2 lainnya) yang kalo ada event di pi/gi naik mrt; lengkap dengan pakaian rapih (yg ternyata panas bgt) &amp; heels (YG TERNYATA PEGEL BGT) 🙂🙂🙂
84,"🐸 : Ini dapet assignment dari Pak Park, buat nyebarin dan ngumpulin kuisioner untuk para pengguna MRT
🙋 : Lah, bukan bagian gue itu sih, gak ngerti guenya
🐸 : Temenin doang, sama ngasih kuisioner aja udah. Gue anter jemput, kasih makan, kasih sayang
🙋 : ...
🐸 : Please..."
85,"🐸 : Wo iya, Seungwoo. 
🙋 : Ada apa bujank? Tumben chat, ada maunya nih? 
🐸 : Besok temenin ke stasiun MRT
🙋 : Boss, moon maap besok weekend kan ya? :)
🐸 : Plis, ini dihitung lembur kok
🙋 : Harus sama gue banget Gyul? :(
🐸 : Gue maunya sama elo. Please
🙋 : Ngapain sih? https://t.co/5JGykfxaUL"
86,"Hari ini pake semua transportasi umum ya transjkt, mrt, krl, grab gempor kakinya."
87,@detikcom padahal tadi pas gempa ada di dalam MRT nih. Tara berasa euy.
88,@yoonspedia Ga diberhentiin?? MRT sm busway katanya diberhentiin
89,"Pasca Gempa, MRT Kembali Beroperasi  https://t.co/8zPkK7Lxm2"
90,"Operasional MRT sempat terhenti akibat gempa, kini normal kembali https://t.co/KOu0EH4f6T"
91,"Aneh bgt naik mrt cuma dari benhil ke setiabudi, pake kaos, sendal jepit, nenteng styrofoam dibungkus plastik (ok guys i kno its no good for our environment but) im literally the ugliest mrt passanger in town"
92,"Sempat Berhenti, Operasional MRT Kembali Normal Usai Gempa https://t.co/EexqPeKxfu"
93,@framadhans1 Stasiun mrt mbak wkwkw
94,@Chili_Mathobo @TedPhaladi 😂🤣ri do lwa mungana
95,"@kevinmoontbz Di kapsul hotel di Jalan Besar sih.. agak jauh juga dari The Star tuh tp gpp hotelku deket stasiun MRT sama halte untungnya, moga ga lupa jalan kesana 😅😅 pls saling kabar2i ya nanti disana kita kudu meet up pokoknyaaa"
96,Ngeri juga pas gempa posisi lagi di mrt bawah tanah
97,"Segaenak itu tadi ada mba-mba ga sengaja nyenggol kuah soto ampe tumpah kena jeans di mana aing spontan nyeletuk, ""BANGKONG!"" Dan kedengeran mbanya.

Eh ini di MRT ada mba-mba duduk sebelah terus sepatunya ngotorin celana aing, minta maaf aja engga.

Ingin marah, tapi buat apa."
98,@drugxdylan Rm suga et jk
99,RT @F_ViviJKT48: Aku abis cek up kaki lagi👋🏻 skrg Mau jln jln naik mrt sm mom and dad💙💚❤️🧡 yey naik kereta
100,RT @kumparan: Pengecekan dilakukan untuk memastikan keamanan MRT Jakarta saat digunakan. https://t.co/HC7woJK1vB
101,"Kebodohan Ojan the series.
Tap gate MRT pake KTP.

Pantes bunyi mulu :( https://t.co/wBplLFVheh"
102,"Gempa Banten, Penumpang Lihat Kabel di Atas MRT Ikut Bergoyang https://t.co/nOiIsEMTdH https://t.co/6jjA7CMLVf"
103,@askmenfess Lagi di mrt. Terus mrt nya ketahan sumpah serem bgt
104,"#BreakingNews Operasional MRT Jakarta sempat berhenti usai gempa. Kini, operasional sudah kembali normal. #mrt #gempa #bmkg  https://t.co/DmrjxoFvEZ"
105,"Goresan pertama cucuk canting pada kain batik sepanjang 74 meter di salah satu peron Stasiun MRT Bundaran HI, Jakarta https://t.co/lkoQ9n20rq"
106,"Bahana On MRT Stage lagi nihh!!!
Jumat kali ini nyanyi-nyanyi di Stasiun MRT Dukuh Atas bareng sama THE RAIN! Yeaayy!
.
Absen dong tadi siapa aja nih teman bahana yang ikut seru-seruan bareng @therainband ?? Gimana… https://t.co/5lkHJoC3ac"
107,"Usai Gempa, MRT Kembali Berjalan Normal https://t.co/AXF4ixA4Hz https://t.co/0u6jlcNwRF"
108,"#Repost from @batikperdamaian (repost_media_app)
Kemarin tanggal 1 Agustus 2019, di stasiun MRT Bundaran HI, Bapak Presiden Joko Widodo dan Ibu Iriana menorehkan “Malam” pertama pada kain… https://t.co/g4PNsNb5IA"
109,"@ktm_berhad Salam sejahtera, sorry lari tajuk.. train dari rawang ke mrt sebelah pagi berapa trip? Dalam lingkuan jam berapa?"
110,Layanan MRT Sempat Terhenti saat Gempa Banten https://t.co/E4G1k8Aijp https://t.co/jZBap8qnCv
111,RT @mrtjakarta: Tim Operasional MRT Jakarta sedang melakukan pemeriksaan untuk memastikan semua kondisi stasiun dan fasilitas MRT Jakarta d…
112,Yg lagi di MRT jalur bawah tanah pas gempa td apa yg di rasa ya?
113,@exelflores21 @aniesbaswedan ngaruh lah.. biar pada mikir kaga bawa kendaraan pribadi.. biar pada naek kendaraan umun. comuter.. bus.lrt. mrt
114,"Lagi di mrt bareng 2 temen yg br dtg dr lombok, kemudian mereka panik 
""Eh gempa gempa"" 

Terus aku cuma
"" engga, itu karena keretanya jalan ajaa"" 

Ternyata gempa beneran.......

Emang sensitivitas orang lombok terhadap gempa tinggi😂"
115,RT @republikaonline: MRT sempat dihentikan selama 10 menit 43 detik saat gempa. https://t.co/P2ndYBuYPK
116,Lah iya. Ga kebayang pas lagi gempa kitanya lagi di MRT bagian stasiun bawah tanahnya
117,"@AnakBBS_KR02 Padahal polusi itu di akibatkan banyak nya pohon yang di tebang utk pembangunan MRT 
 1 1 nya galakan lagi penghijauan di Jakarta."
118,"RT @kompascom: Imbas gempa bermagnitudo 7,4 yang terasa hingga Jakarta, kereta MRT Jakarta sempat berhenti beroperasi. https://t.co/1YRrem2…"
119,"Gempa Terasa di Jakarta, MRT Sempat Berhenti 10 Menit https://t.co/3PCvkLbB8A"
120,"MRT sempat dihentikan selama 10 menit 43 detik saat gempa.

#Gempa #Kerasa #Banten #Waspada #Tsunami #Siaga #Bencana

https://t.co/c9kevEhFeh"
121,@AskRapidKL mrt sg buloh. T102 paya jaras sungai buloh
122,"RT @kumparan: Gempa 7,4 magnitudo berpusat di Sumur, Banten. https://t.co/NHV1p0cRPz"
123,"Kejadian gempa hari ini aku lagi jalan kaki naik tangga ke stasiun MRT, ga berasa, nyelonong aja diem depan peron MRT padahal udah lihat yg lain lagi pada diem ditangga bawah wkwk"
124,@mockinghyun Yaaaa aku naiknya sama supir😭 pulang naik mrt. APAKAH KAMU IYAA
125,@parkupin Hayo mrt manaaa wkwkwkkw
126,kayaknya tadi di mrt ketemu uda ivan lanin deh apa mirip doang kali ya
127,"I'm at RapidKL Pasar Seni (SBK16) MRT Station - @myrapidkl in Kuala Lumpur, 吉隆坡 https://t.co/ibQI2ksTCD"
128,"@tubirfess Tapi asli ya , ini pada udah mager apa gimana 😭 . Gue pas naik MRT , pada antrian panjang naik escalator padahal sebelah tangga kosong pol 😭😭"
129,"@jumintenkoplak Harusnya ya. Karna bakal nempel bet ama MRT. Mending beli sekarang kalo emang mau beli. Belom lama di group penghuni, ada yang jual 2 orang tapi di bawah harga pasaran. 1M lebih murah dari harga pasaran."
130,"RT @iqmal_9: well, MRT skip selayang yang ada hospital, stadium dan tempat penting untuk orang ramai membeli belah dah jangan tanya kenapa…"
131,g ada apa apanya dbandingno duta MRT 😗 https://t.co/DGBS5NrPqg
132,Pengecekan dilakukan untuk memastikan keamanan MRT Jakarta saat digunakan. https://t.co/HC7woJK1vB
133,"Imbas gempa bermagnitudo 7,4 yang terasa hingga Jakarta, kereta MRT Jakarta sempat berhenti beroperasi. https://t.co/1YRrem2y3M"
134,"Taunya karena lgsg terdengar banyak sirine sama security on board mrt ngomong “harap tenang semuanya, tunggu intruksi berikutnya”"
135,"Akhirnya kereta diberhentiin di stasiun fatmawati, stasiun paling tinggi. Jalur mrt pegangan sama bumi, lah ini buminya lagi goyang."
136,"@Skinnyedge Hm kurang tau nih jam brpnya.

Bsk brgkt naik krl dulu, trs turun sudirman. Abis itu nyambung mrt dukuh atas gitu sihh.

Kayaknya sih jam 8 udah di mrt dukuh atas."
137,"Waktu gempa tadi, Ara lagi didalem mrt yang jalan belokan mau stasiun fatmawati dari arah cipete. Kebayang gak setakut apa kaya film2 disaster gt?
Pantesan kok aneh keretanya goyang tp geter kenceng, ku kira karena gangguan listrik apa gmn. Gatau kalau gempa😭"
138,"Niatkanlah dirimu utk bertaubat saat ini jg krn takut 5 atau 10 manit kdepan nyawa kt sdh melayang

Mrt rehat sahabat fillahku, jgn lupa tahajud,perbnyk ibadah,sedekah utk 10 hari kedepan, jgn lewatkn bibir ini utk sll dzikrullah,sholawat, ak sll ad d 1/3 mlm"
139,@naresvara @piokharisma Ini yang bagian bawahnya MRT bukan bro ?
140,@tubirfess Di eskalator stasiun mrt yang kiri buat diem yang kanan buat jalan. Orang2 commuter aja yang masih belom bisa nerapin
141,"@miaws hehehe, maksudnya mungkin, gimana cara menyelamatkan diri ketika dalam MRT kalo emergency gitu? 😅"
142,MRT sempat dihentikan selama 10 menit 43 detik saat gempa. https://t.co/P2ndYBuYPK
143,bus (@ Serangoon MRT Interchange (NE12/CC13) in Singapore) https://t.co/ZswQ9J97uv
144,"RT @mrtjakarta: Teman MRT, demi meningkatkan kenyamanan seluruh pengguna MRT Jakarta, mari kita bersama-sama saling peduli dengan menaati a…"
145,@nungkiiooo Meluo selfie mbak ben eneng konco ngobroool mohon maap y mrt jakarta ki 10 menit sekali e pfff
146,bsk ada yang mo naik mrt heuheuheu???
147,RT @Syahidaysmn: Punyalah rancak aku berborak dengan akak dalam mrt ni sekali aku je yang nampak akak tu. No wonder lah org pandang aku sem…
148,"RT @liputan6dotcom: #Gempa Mengguncang Jakarta, Layanan MRT Sempat Terhenti

https://t.co/DvMrugZsbx"
149,"Model: iPhone 8 Red 256gb LL set (FULLSET)
Rm1990
Condition 9/10
Warranty: Sebulan 
Cod percuma: Bangi Gateway
Cod berbayar: RM29 stesen ktm/lrt/mrt
Pos J&amp;T: RM10 Semenanjung &amp; RM20 S/S https://t.co/WNttbThKzz"
150,Car Fire - E018 - Ssgt Macario Garcia Dr - 08:28 - https://t.co/bvnRiSqd41
151,"@ravikafifi Tadi aku didalam MRT pas gempa, tapi gak berasa apa krn duduk yaa"
152,"@PT_TransJakarta @andmorga @CommuterLine Angkot, Transjakarta, MRT, Commuter Line. 🤩"
153,MRT Jakarta sudah beroperasi dengan headway normal 10 menit. Terima kasih
154,"iPhone 7 Plus Red Product 128gb LL set (FULLSET)
RM1750
Condition 9/10
Warranty: Sebulan
Cod percuma: Bangi Gateway
Cod berbayar: RM29 stesen ktm/lrt/mrt
Pos J&amp;T: RM10 Semenanjung &amp; RM20 S/S https://t.co/yVF9GiiSkt"
155,RT @mrtjakarta: Tahu kah Teman MRT bahwa Jalur MRT Jakarta membentang sepanjang 16 Km mulai dari Stasiun Lebak Bulus Grab hingga Stasiun Bu…
156,Gempa membuat MRT Jakarta berhenti beroperasi sementara https://t.co/SNxemOBbqc
157,Muka semua org penat je dlm mrt ni
158,"Layanan MRT Sempat Terhenti 5 Menit Akibat Gempa Banten

Menimbulkan kepanikan di Stasiun ASEAN &gt;&gt;https://t.co/cRO4e2UT1p  #gempa"
159,"Aku sedang di stasiun Istora, dan MRT diberhentikan sejenak. #gempa  #jakartagempa #earthquake https://t.co/UaI1FSE64L"
160,"@andriERK Saya ayena keur di karawci, besok atuh..saya pengker setasiun MRT"
161,@vitaastrila Cape ya! U gtw banyaknya tangga di stasiun mrt apa 😩😩
162,"Wah tadi pas gempa, mrt lagi di atas langsung berhenti. Ga kebayang kalo gue lagi naik mrt"
163,"well, MRT skip selayang yang ada hospital, stadium dan tempat penting untuk orang ramai membeli belah dah jangan tanya kenapa tak cukup penumpang. shuuuh pergi main jauh2 sana."
164,"Jadi penasaran sama yg ada di stasiun bawah tanah mrt, gimana ya apa berasa?"
165,Akhirnya tadi juga pake MRT ajalah karena ga dapet2 taksi https://t.co/1AQLCvH2gf
166,@densha_foxtrot MRT udah beroperasi normal. Tadi barusan naik dari HI ke Senayan. Deg-degan juga sih takut gempa susulan
167,"Sempat Terhenti Karena Gempa Banten, MRT Sudah Kembali Normal dan Aman https://t.co/7jGjC8kFqh"
168,"@sukaesgrem Dari gambir ke HI nya gak bisa, paling naik busway blok m-kota dri depan gambir turun di Halte bundaran HI, baru lanjut naik MRT. Atau langsung lanjut aja busway gak usah turun HI utk MRT kalo gak mau turun naik transportasi"
169,jadi tadi tuh pas abis dari Blok M Square mampir ke Pondok Senopati Bu Lili. salah satu stall penjual capjay favorite aku. with reasonable price. bayar pake ovo cashback 30%. trus pulang naik MRT lanjut ke Sbux Lotte Fatmawati like yall already knew https://t.co/bx515kfJiU
170,#setorfoto ke @piokharisma  pas naek mrt kemaren. https://t.co/qzoKhb6KPf
171,"RT @tyragzel: USED iPhone 6s Space Grey 64gb LL set (FULLSET)
Price: RM800
Warranty: Sebulan by MyPhone Valley
Cod percuma: Bangi Gateway
C…"
172,Ga ngebayangin kalo gempanya td masih di dlm MRT 🥺
173,"Gempa Mengguncang Jakarta, Layanan MRT Sempat Terhenti https://t.co/gsu3w5Vptp https://t.co/DDDIQCF4us"
174,@heidy_alkaff Bisa naik MRT? horeeeee. Pengen cobaaa😆😆
175,"Sempat Berhenti, MRT Jakarta Kembali Beroperasi Normal Pasca Gempa 7,4 SR #Gempa #BMKG #GempaBanten https://t.co/guqu93RyZH"
176,"BREAKING NEWS : 

Guncangan Gempa Terasa di Jakarta, MRT Sempat Berhenti Beroperasi ???

 Guncangan gempa M 7,4 di Banten terasa hingga Jakarta. MRT Jakarta sempat berhenti beroperasi akibat gempa. 

""Kereta MRT… https://t.co/awdv3mls36"
177,RT @ravikafifi: MRT berasa gempa ya? KRL mah kagak. wqwq
178,"RT @kayarenata: #pluvio

👧: lu masih di mrt? Terjebak di mrt?
👦: engga, gue terjebak di nostalgia.

BODO AMAT."
179,Jadi gitu rasanya ngerasain gempa jadi ngikut orang orang lari mana w lagi di peron mrt :')
180,"USED iPhone 6s Space Grey 64gb LL set (FULLSET)
Price: RM800
Warranty: Sebulan by MyPhone Valley
Cod percuma: Bangi Gateway
Cod berbayar: RM29 stesen ktm/lrt/mrt
Pos J&amp;T: RM10 Semenanjung &amp; RM20 S/S

HELP ME RT PLEASE 😄 https://t.co/af74AOGWVu"
181,"RT @antaranews: Pascagempa 7.4 skala Richter, MRT Jakarta masih beroperasi normal https://t.co/5WA222qyX7"
182,Kapan lagi yekan ngerasain gempa pas di stasiun bawah tanah mrt.. https://t.co/Kqc1h3KNy1
183,@densha_foxtrot Kalau HCR yang duduk di tanah sih aturan enggak ada masalah lawan gempa selama relnya masih utuh. MRT/LRT yang antara layang atau di bawah tanah sekalinya ketemu gempa ya riskan terowongan kolaps atau tiang flyover ambruk
184,MRT berasa gempa ya? KRL mah kagak. wqwq
185,"paling enak udah mrt doang. berdoa aja, mrt/lrt cepat terwujudkan, lumayan buat gue yg kerja di bsd, nyambil kuliah di tebet, rumah di bekasi :)"
186,"Pascagempa 7.4 skala Richter, MRT Jakarta masih beroperasi normal https://t.co/5WA222qyX7"
187,@Sshintanf gangerti gw lg di mrt gamerasakan apapun
188,"Gempa di Jkt? Yg di bawah tanah stasiun mrt bagaimana ya, terasa jg?"
189,"@primahapsari83 @gallanttsany @Jogja_Uncover Alhamdulillah aku aman mbakku, lg menuju plng ke rmh. Pas gempa aku didalam MRT jadi gak tau, begitu berhenti di St. Blok A baru ada pengumuman terjadi gempa Kereta berhenti dahulu, stlh aman baru berjalan kembali normal"
190,"Guncangan gempa M 7,4 Banten juga dirasakan warga Jakarta yang sedang menumpangi MRT. https://t.co/2NZbY7HC7d"
191,"Malam ini jakarta tegang &amp; panik.. di jalan, kereta &amp; MRT semuanya tegang.. stay safe 🙏🏻"
