,0,1
115,1140,"Lagi di mrt bareng 2 temen yg br dtg dr lombok, kemudian mereka panik 
""Eh gempa gempa"" 

Terus aku cuma
"" engga, itu karena keretanya jalan ajaa"" 

Ternyata gempa beneran.......

Emang sensitivitas orang lombok terhadap gempa tinggi😂"
116,1150,RT @republikaonline: MRT sempat dihentikan selama 10 menit 43 detik saat gempa. https://t.co/P2ndYBuYPK
117,1160,Lah iya. Ga kebayang pas lagi gempa kitanya lagi di MRT bagian stasiun bawah tanahnya
118,1170,"@AnakBBS_KR02 Padahal polusi itu di akibatkan banyak nya pohon yang di tebang utk pembangunan MRT 
 1 1 nya galakan lagi penghijauan di Jakarta."
119,1180,"RT @kompascom: Imbas gempa bermagnitudo 7,4 yang terasa hingga Jakarta, kereta MRT Jakarta sempat berhenti beroperasi. https://t.co/1YRrem2…"
120,1190,"Gempa Terasa di Jakarta, MRT Sempat Berhenti 10 Menit https://t.co/3PCvkLbB8A"
121,1200,"MRT sempat dihentikan selama 10 menit 43 detik saat gempa.

#Gempa #Kerasa #Banten #Waspada #Tsunami #Siaga #Bencana

https://t.co/c9kevEhFeh"
122,1210,@AskRapidKL mrt sg buloh. T102 paya jaras sungai buloh
123,1220,"RT @kumparan: Gempa 7,4 magnitudo berpusat di Sumur, Banten. https://t.co/NHV1p0cRPz"
124,1230,"Kejadian gempa hari ini aku lagi jalan kaki naik tangga ke stasiun MRT, ga berasa, nyelonong aja diem depan peron MRT padahal udah lihat yg lain lagi pada diem ditangga bawah wkwk"
125,1240,@mockinghyun Yaaaa aku naiknya sama supir😭 pulang naik mrt. APAKAH KAMU IYAA
126,1250,@parkupin Hayo mrt manaaa wkwkwkkw
127,1260,kayaknya tadi di mrt ketemu uda ivan lanin deh apa mirip doang kali ya
128,1270,"I'm at RapidKL Pasar Seni (SBK16) MRT Station - @myrapidkl in Kuala Lumpur, 吉隆坡 https://t.co/ibQI2ksTCD"
129,1280,"@tubirfess Tapi asli ya , ini pada udah mager apa gimana 😭 . Gue pas naik MRT , pada antrian panjang naik escalator padahal sebelah tangga kosong pol 😭😭"
130,1290,"@jumintenkoplak Harusnya ya. Karna bakal nempel bet ama MRT. Mending beli sekarang kalo emang mau beli. Belom lama di group penghuni, ada yang jual 2 orang tapi di bawah harga pasaran. 1M lebih murah dari harga pasaran."
131,1300,"RT @iqmal_9: well, MRT skip selayang yang ada hospital, stadium dan tempat penting untuk orang ramai membeli belah dah jangan tanya kenapa…"
132,1310,g ada apa apanya dbandingno duta MRT 😗 https://t.co/DGBS5NrPqg
133,1320,Pengecekan dilakukan untuk memastikan keamanan MRT Jakarta saat digunakan. https://t.co/HC7woJK1vB
134,1330,"Imbas gempa bermagnitudo 7,4 yang terasa hingga Jakarta, kereta MRT Jakarta sempat berhenti beroperasi. https://t.co/1YRrem2y3M"
135,1340,"Taunya karena lgsg terdengar banyak sirine sama security on board mrt ngomong “harap tenang semuanya, tunggu intruksi berikutnya”"
136,1350,"Akhirnya kereta diberhentiin di stasiun fatmawati, stasiun paling tinggi. Jalur mrt pegangan sama bumi, lah ini buminya lagi goyang."
137,1360,"@Skinnyedge Hm kurang tau nih jam brpnya.

Bsk brgkt naik krl dulu, trs turun sudirman. Abis itu nyambung mrt dukuh atas gitu sihh.

Kayaknya sih jam 8 udah di mrt dukuh atas."
138,1370,"Waktu gempa tadi, Ara lagi didalem mrt yang jalan belokan mau stasiun fatmawati dari arah cipete. Kebayang gak setakut apa kaya film2 disaster gt?
Pantesan kok aneh keretanya goyang tp geter kenceng, ku kira karena gangguan listrik apa gmn. Gatau kalau gempa😭"
139,1380,"Niatkanlah dirimu utk bertaubat saat ini jg krn takut 5 atau 10 manit kdepan nyawa kt sdh melayang

Mrt rehat sahabat fillahku, jgn lupa tahajud,perbnyk ibadah,sedekah utk 10 hari kedepan, jgn lewatkn bibir ini utk sll dzikrullah,sholawat, ak sll ad d 1/3 mlm"
140,1390,@naresvara @piokharisma Ini yang bagian bawahnya MRT bukan bro ?
141,1400,@tubirfess Di eskalator stasiun mrt yang kiri buat diem yang kanan buat jalan. Orang2 commuter aja yang masih belom bisa nerapin
142,1410,"@miaws hehehe, maksudnya mungkin, gimana cara menyelamatkan diri ketika dalam MRT kalo emergency gitu? 😅"
143,1420,MRT sempat dihentikan selama 10 menit 43 detik saat gempa. https://t.co/P2ndYBuYPK
144,1430,bus (@ Serangoon MRT Interchange (NE12/CC13) in Singapore) https://t.co/ZswQ9J97uv
145,1440,"RT @mrtjakarta: Teman MRT, demi meningkatkan kenyamanan seluruh pengguna MRT Jakarta, mari kita bersama-sama saling peduli dengan menaati a…"
146,1450,@nungkiiooo Meluo selfie mbak ben eneng konco ngobroool mohon maap y mrt jakarta ki 10 menit sekali e pfff
147,1460,bsk ada yang mo naik mrt heuheuheu???
148,1470,RT @Syahidaysmn: Punyalah rancak aku berborak dengan akak dalam mrt ni sekali aku je yang nampak akak tu. No wonder lah org pandang aku sem…
149,1480,"RT @liputan6dotcom: #Gempa Mengguncang Jakarta, Layanan MRT Sempat Terhenti

https://t.co/DvMrugZsbx"
150,1490,"Model: iPhone 8 Red 256gb LL set (FULLSET)
Rm1990
Condition 9/10
Warranty: Sebulan 
Cod percuma: Bangi Gateway
Cod berbayar: RM29 stesen ktm/lrt/mrt
Pos J&amp;T: RM10 Semenanjung &amp; RM20 S/S https://t.co/WNttbThKzz"
151,1500,Car Fire - E018 - Ssgt Macario Garcia Dr - 08:28 - https://t.co/bvnRiSqd41
152,1510,"@ravikafifi Tadi aku didalam MRT pas gempa, tapi gak berasa apa krn duduk yaa"
153,1520,"@PT_TransJakarta @andmorga @CommuterLine Angkot, Transjakarta, MRT, Commuter Line. 🤩"
154,1530,MRT Jakarta sudah beroperasi dengan headway normal 10 menit. Terima kasih
155,1540,"iPhone 7 Plus Red Product 128gb LL set (FULLSET)
RM1750
Condition 9/10
Warranty: Sebulan
Cod percuma: Bangi Gateway
Cod berbayar: RM29 stesen ktm/lrt/mrt
Pos J&amp;T: RM10 Semenanjung &amp; RM20 S/S https://t.co/yVF9GiiSkt"
156,1550,RT @mrtjakarta: Tahu kah Teman MRT bahwa Jalur MRT Jakarta membentang sepanjang 16 Km mulai dari Stasiun Lebak Bulus Grab hingga Stasiun Bu…
157,1560,Gempa membuat MRT Jakarta berhenti beroperasi sementara https://t.co/SNxemOBbqc
158,1570,Muka semua org penat je dlm mrt ni
159,1580,"Layanan MRT Sempat Terhenti 5 Menit Akibat Gempa Banten

Menimbulkan kepanikan di Stasiun ASEAN &gt;&gt;https://t.co/cRO4e2UT1p  #gempa"
160,1590,"Aku sedang di stasiun Istora, dan MRT diberhentikan sejenak. #gempa  #jakartagempa #earthquake https://t.co/UaI1FSE64L"
161,1600,"@andriERK Saya ayena keur di karawci, besok atuh..saya pengker setasiun MRT"
162,1610,@vitaastrila Cape ya! U gtw banyaknya tangga di stasiun mrt apa 😩😩
163,1620,"Wah tadi pas gempa, mrt lagi di atas langsung berhenti. Ga kebayang kalo gue lagi naik mrt"
164,1630,"well, MRT skip selayang yang ada hospital, stadium dan tempat penting untuk orang ramai membeli belah dah jangan tanya kenapa tak cukup penumpang. shuuuh pergi main jauh2 sana."
165,1640,"Jadi penasaran sama yg ada di stasiun bawah tanah mrt, gimana ya apa berasa?"
166,1650,Akhirnya tadi juga pake MRT ajalah karena ga dapet2 taksi https://t.co/1AQLCvH2gf
167,1660,@densha_foxtrot MRT udah beroperasi normal. Tadi barusan naik dari HI ke Senayan. Deg-degan juga sih takut gempa susulan
168,1670,"Sempat Terhenti Karena Gempa Banten, MRT Sudah Kembali Normal dan Aman https://t.co/7jGjC8kFqh"
169,1680,"@sukaesgrem Dari gambir ke HI nya gak bisa, paling naik busway blok m-kota dri depan gambir turun di Halte bundaran HI, baru lanjut naik MRT. Atau langsung lanjut aja busway gak usah turun HI utk MRT kalo gak mau turun naik transportasi"
170,1690,jadi tadi tuh pas abis dari Blok M Square mampir ke Pondok Senopati Bu Lili. salah satu stall penjual capjay favorite aku. with reasonable price. bayar pake ovo cashback 30%. trus pulang naik MRT lanjut ke Sbux Lotte Fatmawati like yall already knew https://t.co/bx515kfJiU
171,1700,#setorfoto ke @piokharisma  pas naek mrt kemaren. https://t.co/qzoKhb6KPf
172,1710,"RT @tyragzel: USED iPhone 6s Space Grey 64gb LL set (FULLSET)
Price: RM800
Warranty: Sebulan by MyPhone Valley
Cod percuma: Bangi Gateway
C…"
173,1720,Ga ngebayangin kalo gempanya td masih di dlm MRT 🥺
174,1730,"Gempa Mengguncang Jakarta, Layanan MRT Sempat Terhenti https://t.co/gsu3w5Vptp https://t.co/DDDIQCF4us"
175,1740,@heidy_alkaff Bisa naik MRT? horeeeee. Pengen cobaaa😆😆
176,1750,"Sempat Berhenti, MRT Jakarta Kembali Beroperasi Normal Pasca Gempa 7,4 SR #Gempa #BMKG #GempaBanten https://t.co/guqu93RyZH"
177,1760,"BREAKING NEWS : 

Guncangan Gempa Terasa di Jakarta, MRT Sempat Berhenti Beroperasi ???

 Guncangan gempa M 7,4 di Banten terasa hingga Jakarta. MRT Jakarta sempat berhenti beroperasi akibat gempa. 

""Kereta MRT… https://t.co/awdv3mls36"
178,1770,RT @ravikafifi: MRT berasa gempa ya? KRL mah kagak. wqwq
179,1780,"RT @kayarenata: #pluvio

👧: lu masih di mrt? Terjebak di mrt?
👦: engga, gue terjebak di nostalgia.

BODO AMAT."
180,1790,Jadi gitu rasanya ngerasain gempa jadi ngikut orang orang lari mana w lagi di peron mrt :')
181,1800,"USED iPhone 6s Space Grey 64gb LL set (FULLSET)
Price: RM800
Warranty: Sebulan by MyPhone Valley
Cod percuma: Bangi Gateway
Cod berbayar: RM29 stesen ktm/lrt/mrt
Pos J&amp;T: RM10 Semenanjung &amp; RM20 S/S

HELP ME RT PLEASE 😄 https://t.co/af74AOGWVu"
182,1810,"RT @antaranews: Pascagempa 7.4 skala Richter, MRT Jakarta masih beroperasi normal https://t.co/5WA222qyX7"
183,1820,Kapan lagi yekan ngerasain gempa pas di stasiun bawah tanah mrt.. https://t.co/Kqc1h3KNy1
184,1830,@densha_foxtrot Kalau HCR yang duduk di tanah sih aturan enggak ada masalah lawan gempa selama relnya masih utuh. MRT/LRT yang antara layang atau di bawah tanah sekalinya ketemu gempa ya riskan terowongan kolaps atau tiang flyover ambruk
185,1840,MRT berasa gempa ya? KRL mah kagak. wqwq
