,tweets,id,len,date,source,likes,retweets,sentiment
36,"@miaelmyra Hai kak, 
Hal tersebut akan kami sampaikan kepada divisi terkait.",1157090057037049856,76,2019-08-02 00:45:41,Twitter for iPhone,2,0,Positive
37,"@osmar2213 Terima kasih atas masukannya, akan kami sampaikan kepada divisi terkait untuk bahan evaluasi.",1157089826799149056,104,2019-08-02 00:44:47,Twitter for iPhone,0,0,Positive
38,"@pratamaadlian @maulanagituri Hai kak, 
Saat ini sudah tersedia Park and Ride di Stasiun Fatmawati posisinya di dekat kantor camat cilandak.",1157089592563994624,140,2019-08-02 00:43:51,Twitter for iPhone,0,0,Positive
39,"@arya_n_pratama Hai kak,
Mengenai hal tersebut akan kami sampaikan kepada divisi terkait.",1156919611721306113,89,2019-08-01 13:28:24,Twitter for iPhone,0,0,Positive
40,"@cukupbayu Mohon maaf atas ketidaknyamanannya, toilet masih dalam perbaikan 🙏🏻",1156918794998046720,78,2019-08-01 13:25:09,Twitter for iPhone,0,0,Positive
41,"@Aldi48838545 Hai kak, 
Untuk sarannya akan kami sampaikan kepada divisi terkait 🙂",1156918405192011776,82,2019-08-01 13:23:36,Twitter for iPhone,0,0,Positive
42,@cindycecilia_ Mohon maaf atas ketidaknyamananya akan kami sampaikan kepada divisi terkait.,1156907653949317120,91,2019-08-01 12:40:53,Twitter for iPhone,0,0,Positive
43,"@DimasAnggakara Mohon maaf atas ketidaknyamanannya, akan kami sampaikan kepada divisi terkait.",1156907316144328705,94,2019-08-01 12:39:33,Twitter for iPhone,1,0,Positive
44,@Ibrahim_Husein7 Jika bersifat komersial memerlukan izin kak,1156869574677000194,60,2019-08-01 10:09:34,Sociomile Care,1,0,Negative
45,"Jadi bagi teman MRT jangan pernah sungkan untuk bertanya untuk mendapat informasi, meminta bantuan dan melapor kepa… https://t.co/SQkukT4j4u",1156865764663549954,140,2019-08-01 09:54:26,Twitter for iPhone,16,5,Negative
46,"Pada setiap perjalanan di dalam kereta MRT Jakarta, para masinis dibantu oleh para petugas keamanan untuk membantu… https://t.co/KRRJq1VzcR",1156865750306439168,139,2019-08-01 09:54:23,Twitter for iPhone,28,10,Positive
47,@hjmmy hampir benar kak,1156818613333921794,23,2019-08-01 06:47:04,TweetDeck,0,0,Negative
48,@ipang678 Bukan kak 😁,1156766535479746560,21,2019-08-01 03:20:08,Twitter for iPhone,0,0,Negative
49,@recirecii 😁😁😁,1156766393217323008,14,2019-08-01 03:19:34,Twitter for iPhone,0,0,Positive
50,"@awiwoho Mohon maaf atas ketidaknyamanannya,akan kami sampaikan kepada divisi terkait.",1156762300570722304,86,2019-08-01 03:03:18,Sociomile Care,0,0,Positive
51,@andrilest Kereta terakhir pukul 23.44 kak,1156759038110994432,42,2019-08-01 02:50:20,Sociomile Care,0,0,Negative
52,@ekafaw Acara Goresan Batik Kemerdekaan kak,1156749898999402499,43,2019-08-01 02:14:01,Sociomile Care,2,0,Positive
53,"@arhamrsalan Hai kak, 
Hal tersebut sudah kami sampaikan ke divisi terkait agar ditindaklanjut. terima kasih 🙂",1156749754405015552,110,2019-08-01 02:13:27,Sociomile Care,0,0,Positive
54,"@raaaka1 Terima kasih kak, telah menggunakan layanan MRT Jakarta 🙂",1156739924365721601,66,2019-08-01 01:34:23,Sociomile Care,2,1,Positive
55,@DanaYudhistira  Goresan Batik Kemerdekaan kak,1156736887500894208,46,2019-08-01 01:22:19,Sociomile Care,2,0,Positive
56,"@engkusbani7 Hai kak, 
Jadwal kereta arah Bundran HI dari Stasiun Blok M BCA mulai Pukul 05.00",1156712462353231873,94,2019-07-31 23:45:16,Twitter for iPhone,0,0,Negative
57,@jtmkcjjmt Salah kak 😊,1156574154214301696,22,2019-07-31 14:35:41,Twitter for iPhone,0,0,Negative
58,@farrasrizqa Hampir 😅,1156574100984197120,21,2019-07-31 14:35:28,Twitter for iPhone,1,0,Positive
59,Tahu kah Teman MRT bahwa Jalur MRT Jakarta membentang sepanjang 16 Km mulai dari Stasiun Lebak Bulus Grab hingga St… https://t.co/RDAYS3wjeu,1156546255805284353,140,2019-07-31 12:44:49,Twitter for iPhone,79,25,Negative
60,@DanaYudhistira Terima kaaih telah menggunakan MRT Jakarta.,1156526136303616000,59,2019-07-31 11:24:52,Twitter for iPhone,1,0,Positive
61,"@TarraNitasera Hai kak, 
Mohon maaf atas ketidaknyamanannya, akan kami sampaikan kepada divisi terkait untuk ditindaklanjut. terima kasih",1156515067795394562,137,2019-07-31 10:40:53,Twitter for iPhone,0,0,Positive
62,Naik MRT bisa banget tampil kece dan biar makin kece kalian bisa mampir ke Irressitible Bazaar #16 di Grand Indones… https://t.co/KdqmtMmsCg,1156501303947718663,140,2019-07-31 09:46:12,Twitter for iPhone,13,3,Negative
63,"RT @itdpindonesia: Tindak lanjut MoU ITDP Indonesia dg @mrtjakarta terkait peningkatan aksesibilitas di sepanjang koridor MRT, ditandai den…",1156500970156646400,140,2019-07-31 09:44:52,Twitter for iPhone,0,10,Negative
64,@adriansyahyasin Sejauh ini tidak berdampak kak,1156477430309294081,47,2019-07-31 08:11:20,Sociomile Care,1,0,Positive
65,"@prabhamwulung @DKIJakarta @itdpindonesia @JakartaMRT @TfJakarta Hai kak, 
Silakan cek link berikut untuk mengetahu… https://t.co/1hVQWC0UrD",1156414778228666369,140,2019-07-31 04:02:22,TweetDeck,1,0,Positive
66,@hpurwanto15 akan kami laporkan kepada divisi terkait.,1156412671199072256,54,2019-07-31 03:54:00,Sociomile Care,0,0,Positive
67,@Yuliayen Sejak kapan kaka tidak mencium lagi bau pesing di MRT ?,1156409019847725062,65,2019-07-31 03:39:30,Sociomile Care,0,0,Negative
68,"@AmandaJunisa Tersedia elevator di masing-masing arah, posisinya di depan pintu masuk Plaza Blok M pintu timur dan… https://t.co/t0VSyFlQ6M",1156405128053682176,139,2019-07-31 03:24:02,Sociomile Care,0,0,Negative
69,"@marvell_putra Mohon maaf atas ketidaknyamanannya, akan kami sampaikan kepada divisi terkait untuk ditindaklanjut.",1156403280257273857,114,2019-07-31 03:16:41,Twitter for iPhone,0,0,Positive
70,"@arhamrsalan Mohon maaf atas ketidaknyamanannya, akan kami sampaikan kepada divisi terkait untuk ditindaklanjut.",1156389342429925376,112,2019-07-31 02:21:18,Sociomile Care,0,0,Positive
71,"@JunizarT Mohon maaf atas ketidaknyamanannya, akan kami sampaikan kepada divisi terkait untuk bahan evaluasi.",1156372933696057344,109,2019-07-31 01:16:06,Sociomile Care,0,0,Positive
72,"@Ardian_aditama Mohon maaf atas ketidaknyamanannya, akan kami sampaikan kepada divisi terkait untuk bahan evaluasi.",1156372450961027072,115,2019-07-31 01:14:11,Sociomile Care,0,0,Positive
73,"@suharmokos Mohon maaf atas ketidaknyamanannya, akan kami tindaklanjut kepada pihak stasiun. terima kasih",1156367142356279296,105,2019-07-31 00:53:05,Twitter for iPhone,3,0,Positive
74,"@novianaello Mohon maaf atas ketidaknyamanannya,akan kami tindaklajut kepada divisi terkait.",1156237284649267200,92,2019-07-30 16:17:05,Twitter for iPhone,3,0,Positive
75,@Budipriyo9 23.31 WIB,1156227121720619008,21,2019-07-30 15:36:42,Twitter for iPhone,1,0,Positive
76,Info stasiun : lift Stasiun Lebak Bulus Grab dari ground menuju concourse dekat pintu keluar C sudah kembali normal. Terima kasih,1156224670728781824,129,2019-07-30 15:26:57,Twitter for iPhone,6,3,Negative
77,Info stasiun : elevator Stasiun Fatmawati dari ground menuju intermediate telah kembali normal. Terima kasih,1156224477736210433,108,2019-07-30 15:26:11,Twitter for iPhone,2,1,Negative
78,"@kusumamia @gojekindonesia @GrabID Mohon maaf atas ketidaknyamanannya, akan kami sampaikan kepada divisi terkait.",1156189367896948736,113,2019-07-30 13:06:40,Twitter for iPhone,0,0,Positive
79,@randhilicious 👍🏻,1156187992274325504,17,2019-07-30 13:01:12,Twitter for iPhone,1,0,Negative
80,@pengembarasaga Bisa kak,1156187587347750917,24,2019-07-30 12:59:36,Twitter for iPhone,0,0,Positive
81,"@ClaudyaMohede Hai kak, 
Terima kasih atas informasinya, jika melihat kembali kejadian tersebut silakan memberitahu… https://t.co/0iOsywxIv4",1156186620455866368,140,2019-07-30 12:55:45,Twitter for iPhone,1,0,Positive
82,@ellsbeun Stasiun Bundaran HI kak,1156186032695414786,33,2019-07-30 12:53:25,Twitter for iPhone,0,0,Negative
83,@jagoridwan Mohon maaf kak tidak boleh.,1156143749442879488,39,2019-07-30 10:05:24,Twitter for iPhone,0,0,Negative
84,"@sari_hasna Hai kak, 
Terima kasih atas masukannya akan kami sampaikan kepada divisi terkait untuk bahan evaluasi.",1156129996768866304,114,2019-07-30 09:10:45,Sociomile Care,1,0,Positive
85,"Info Stasiun : Mohon maaf atas ketidaknyamananya, elevator ground menuju intermediate Stasiun Fatmawati sedang dalam perawatan.",1156121937090715648,127,2019-07-30 08:38:44,Twitter for iPhone,0,2,Positive
86,"Info Stasiun : Mohon maaf atas ketidaknyamananya, lift Stasiun Lebak Bulus Grab dekat dengan pintu C/exit carrefour… https://t.co/rWKO73DduM",1156121379105718272,140,2019-07-30 08:36:31,Twitter for iPhone,1,3,Negative
87,@tearfullydonuts Bisa kak,1156083297392287744,25,2019-07-30 06:05:11,Sociomile Care,0,0,Positive
88,PT MRT Jakarta dan SMRT Internasional Pte Ltd Tandatangani Nota Kesepahaman. Selengkapnya di… https://t.co/4lBfkKRFx8,1156034040073351175,117,2019-07-30 02:49:27,Twitter for iPhone,8,4,Positive
89,"@ClaudyaMohede Hai kak,
Untuk saat ini peraturan tersebut masih dalam tahap sosialisasi dan petugas kami hanya akan… https://t.co/ANIEifSVWd",1156023499661561857,140,2019-07-30 02:07:34,TweetDeck,0,0,Positive
90,"@kusumamia @gojekindonesia @GrabID Mohon maaf atas ketidaknyamanannya ,akan kami sampaikan kepada divisi terkait.",1155999235910717441,113,2019-07-30 00:31:09,Twitter for iPhone,0,0,Positive
91,@Achill82907342 Terima kasih kak🙏🏻,1155802745007300608,34,2019-07-29 11:30:22,Twitter for iPhone,0,0,Positive
92,"@Yuliayen Hai kak, 
Untuk laporan kami mohon infokan kepada kami mengenai hal di atas kapan terakhir menggunakan MR… https://t.co/idrSDh3Vvh",1155801044015673346,140,2019-07-29 11:23:37,Twitter for iPhone,1,0,Positive
93,@Yuliayen Terima kasih kak 🙏,1155759406497140738,28,2019-07-29 08:38:10,TweetDeck,1,0,Negative
94,"@GumihoRey Hai kak,

Menindaklanjuti laporan tersebut, jika berkenan kaka bisa print transaksi e-money kaka dan ber… https://t.co/m2cN3CaabD",1155735036244578304,140,2019-07-29 07:01:19,Twitter for iPhone,0,0,Positive
95,"@The_Rinpam Terima kasih atas sarannya, hal tersebut akan kami sampaikan kepada divisi terkait untuk bahan evaluasi.",1155716859905228801,116,2019-07-29 05:49:06,Sociomile Care,0,0,Positive
96,"Tim Perawat Sinyal dan Telekomunikasi MRT Jakarta.
https://t.co/YkQ4Tndzbw
#MRTJakarta #UbahJakarta #JelajahiJakarta https://t.co/GCZsWJCGaU",1155698180874354688,140,2019-07-29 04:34:52,Twitter for iPhone,54,25,Positive
97,"@adezpiring Untuk masing-masing jadwal terakhirnya berbeda-beda kak, 
Silakan cek link berikut 🙂
https://t.co/T3nHfPFjBd",1155697391556673536,120,2019-07-29 04:31:44,TweetDeck,1,0,Positive
98,@adezpiring Pukul 05.00 - 24.00,1155694173736980485,31,2019-07-29 04:18:57,Sociomile Care,0,0,Negative
99,"@GumihoRey Hai kak, 
Terima kasih atas laporannya, mengenai hal tersebut akan kami sampaikan ke divisi terkait.",1155671950116585473,111,2019-07-29 02:50:38,TweetDeck,0,0,Positive
100,@davidnugraha08 Tidak ada kak,1155663609411674113,29,2019-07-29 02:17:30,Sociomile Care,0,0,Positive
101,"@GumihoRey Mohon maaf atas ketidaknyamanannya, silakan mencetak mutasi dan juga membawa struk pembayaran tunainya,… https://t.co/k64yvxJ7b7",1155658415764434944,139,2019-07-29 01:56:52,Twitter for iPhone,1,0,Positive
102,"@karina_luluina Mohon maaf atas ketidaknyamanannya, akan kami tindaklajut kembali kepada divisi terkait.",1155649971988729856,104,2019-07-29 01:23:18,Sociomile Care,0,0,Positive
103,@140116X Untuk yang terdekat yaitu Stasiun Bundaran HI kemudian silakan turun di Stasiun Blok M BCA.,1155649676948885504,100,2019-07-29 01:22:08,Sociomile Care,0,0,Negative
104,"@palupi_dwi Mohon maaf atas ketidaknyamanannya, akan kami tindaklanjut kepada divisi terkait.",1155648217276510208,93,2019-07-29 01:16:20,Sociomile Care,0,0,Positive
105,"@Agamf Mohon maaf atas ketidaknyamanannya, akan kami sampaikan kepada divisi terkait.",1155640478034845696,85,2019-07-29 00:45:35,Twitter for iPhone,0,0,Positive
106,@erbedjogja Terima kasih telah menggunakan MRT Jakarta🙂,1155508651307589634,55,2019-07-28 16:01:45,Twitter for iPhone,0,0,Positive
107,"@Dekarim3 Terima kasih atas masukannya, akan kami sampaikan kepada divisi terkait.",1155407496032354304,82,2019-07-28 09:19:48,Twitter for iPhone,2,1,Positive
108,@irvoktavio Sudah tersedia di setiap stasiun kak.,1155396612752941056,49,2019-07-28 08:36:33,Twitter for iPhone,0,0,Negative
109,@zakkyqolbi Kuy 😉,1155330586652758017,17,2019-07-28 04:14:11,Twitter for iPhone,3,0,Negative
110,"@TalaFP Mohon maaf atas ketidaknyamanannya, akan kami sampaikan kepada divisi terkait untuk bahan evaluasi.",1155328440410619904,107,2019-07-28 04:05:39,Twitter for iPhone,0,0,Positive
111,"Dalam rangka memperingati 25 Tahun Sister City Jakarta-Berlin, salah satu sisi terowongan kendal akan dipercantik d… https://t.co/I4xErEo4rS",1155287646362464257,140,2019-07-28 01:23:33,Twitter for iPhone,18,9,Positive
112,"@RioSuperstar Terima kasih atas sarannya , akan kami sampaikan ke divisi terkait.",1155265135717388288,81,2019-07-27 23:54:06,Twitter for iPhone,0,0,Positive
113,"@MaulBurz Terima kasih atas sarannya, akan kami sampaikan kepada divisi terkait.",1155163018281361409,80,2019-07-27 17:08:20,Twitter for iPhone,2,0,Positive
114,@eli_hotmann @GIIAS_ID Gratis kak,1155116745234845698,33,2019-07-27 14:04:27,Twitter for iPhone,0,0,Positive
115,Yuk besok datang ke acara Jak Lingko On Car Free Day mengusung tema #JakartaBersih yang berkolaborasi dengan Transj… https://t.co/Ip8KyGOsbY,1155087340005515264,140,2019-07-27 12:07:36,Twitter for iPhone,3,2,Negative
116,@sekar130884 Terima kasih telah menggunakan MRT Jakarta.,1155065259670949888,56,2019-07-27 10:39:52,Twitter for iPhone,1,1,Positive
117,@FidyAnas Terima kasih telah menggunakan MRT Jakarta.,1155065101264625667,53,2019-07-27 10:39:14,Twitter for iPhone,0,0,Positive
118,"@bucinAkutt Bisa kak, 
Berikut jadwal terakhir MRT Jakarta di Stasiun Dukuh Atas BNI. https://t.co/AdmAb0n7TW",1155064935841271809,109,2019-07-27 10:38:35,Twitter for iPhone,1,0,Positive
119,@_sketsai Mohon maaf atas ketidaknyamanannya hal tersebut sedang ditindaklanjut.,1155037913630961664,80,2019-07-27 08:51:12,Twitter for iPhone,0,0,Positive
120,@ariana_graens Terima kasih telah menggunakan layanan MRT Jakarta.,1155019609440829440,66,2019-07-27 07:38:28,Twitter for iPhone,4,1,Positive
121,@sotapela Stasiun Bendungan Hilir kak,1155018708894355456,37,2019-07-27 07:34:54,Twitter for iPhone,0,0,Positive
122,Mau ke @GIIAS_ID ? sekarang tersedia shuttle bus gratis di Transmart Carrefour Lebak Bulus. Bagi penumpang MRT cuku… https://t.co/iYRV7ELUHg,1155001912854343680,140,2019-07-27 06:28:09,Twitter for iPhone,39,13,Negative
123,"Mohon maaf atas ketidaknyamananya, untuk saat ini elevator di Stasiun Bendungan Hilir tepatnya di depan Gedung Samp… https://t.co/UKzLFohY60",1154967266133327873,140,2019-07-27 04:10:29,Twitter for iPhone,4,2,Negative
124,@vian_andi Silakan membeli di loket atau mesin tiket otomatis untuk  masing-masing perjalanannya.,1154932269569544194,97,2019-07-27 01:51:25,Twitter for iPhone,0,0,Positive
125,@cluelessbun Di depan Plaza Blok M dan Sebrangnya juga ada kak depan Pintu masuk Blok M Square .,1154914425259692032,96,2019-07-27 00:40:30,Twitter for iPhone,2,0,Negative
126,@erika_solo Masa berlaku 7 hari mulai dari pembelian kartu atau top up.,1154778670227005440,71,2019-07-26 15:41:04,Twitter for iPhone,0,0,Negative
127,"@erika_solo Hai kak, mengenai hal tersebut untuk perjalanan pertama yaitu dengan tarif 22.000 karna dengan harga ja… https://t.co/nqYiV1MAqj",1154777617070841856,140,2019-07-26 15:36:53,Twitter for iPhone,0,0,Positive
128,"@_sketsai Mohon maaf atas ketidaknyamanannya, mohon info nomor kereta, jam keberangkatan dan keberangkatan arah man… https://t.co/oq4qlRjtMc",1154775307255074816,140,2019-07-26 15:27:42,Twitter for iPhone,0,1,Positive
129,@ayikrahayu https://t.co/AMrlBne3Ny,1154774708409135105,35,2019-07-26 15:25:19,Twitter for iPhone,5,0,Positive
130,"@masterando Mohon maaf atas ketidaknyamanannya, akan kami sampaikan kepada divisi terkait.
dan silakan menginformas… https://t.co/Wx8fFvgXB3",1154743703405125632,140,2019-07-26 13:22:07,Twitter for iPhone,3,0,Positive
131,@BillyJS_09 Hari ini saja kak,1154670903952678912,29,2019-07-26 08:32:50,Sociomile Care,0,0,Negative
132,@ainaSNL 1 kartu untuk 1 penumpang kak,1154648776214106112,38,2019-07-26 07:04:55,Sociomile Care,0,0,Negative
133,"Teman MRT sore ini kalian ke mana? yuk datang ke terowongan kendal, di sana kalian akan bertemu dengan cast film Gu… https://t.co/wWTDiZi3VD",1154643840227143680,140,2019-07-26 06:45:18,Twitter for iPhone,15,9,Negative
134,@zh_ya Terima kasih kak😊,1154638067203891200,24,2019-07-26 06:22:22,TweetDeck,0,0,Positive
135,@SprinkleFairies Untuk di weekend atau hari libur headway per 10 menit.,1154596338836787200,71,2019-07-26 03:36:33,Sociomile Care,0,0,Negative
136,@hafizhairlangg Stasiun Dukuh Atas BNI kak,1154590699561422849,42,2019-07-26 03:14:08,Sociomile Care,2,0,Positive
137,@tanganbelang_id Jika bukan bersifat komersial boleh kak,1154575424870965248,56,2019-07-26 02:13:26,Sociomile Care,1,3,Positive
138,@HerryRocky Mohon maaf atas ketidaknyamanannya.,1154569971642454016,47,2019-07-26 01:51:46,Sociomile Care,0,0,Positive
139,@viaguslim Silakan turun di Stasiun Setiabudi Astra untuk yang paling terdekat.,1154568824672227328,79,2019-07-26 01:47:13,Sociomile Care,0,0,Negative
140,Teman MRT agar tetap aman dan selamat saat terjadi keadaan darurat di stasiun dan kereta dimohon untuk ikuti langka… https://t.co/tApk2Mue0B,1154566354168451073,140,2019-07-26 01:37:24,Twitter for iPhone,88,64,Positive
141,@febynalisa Terima kasih kak 😊,1154554626340880384,30,2019-07-26 00:50:48,Twitter for iPhone,2,0,Positive
142,@aditiyareza Terima kasih telah menggunakan layanan MRT Jakarta 🙂,1154551489861304321,65,2019-07-26 00:38:20,Twitter for iPhone,0,1,Positive
143,@girinarasoma Terima kasih kak,1154551312324784129,30,2019-07-26 00:37:38,Twitter for iPhone,0,0,Positive
144,"@alexander00078 Hai kak, 
Sudah tersedia eskalator di Stasiun Senayan di sisi barat dan di sisi timur.",1154547284060729344,102,2019-07-26 00:21:37,Twitter for iPhone,1,0,Negative
145,"@arielehsanr Terima kasih atas masukannya, akan kami sampaikan kepada divisi terkait.",1154379957058994176,85,2019-07-25 13:16:43,Twitter for iPhone,0,0,Positive
146,"MRT Jakarta Menerima Penghargaan OMNI Brands of the Year 2019.
https://t.co/wooo2nPp4i https://t.co/sXSEqKVyw5",1154377904710541316,110,2019-07-25 13:08:34,Twitter for iPhone,8,7,Negative
147,Tahu kah kamu penyumbang terbesar polusi udara di Jakarta yaitu 46 % berasal dari emisi kendaraan bermotor dan apak… https://t.co/FrmU9yIKb0,1154330715175079936,140,2019-07-25 10:01:03,Twitter for iPhone,44,36,Negative
148,@ancilaverena Ada kak,1154314988292415499,21,2019-07-25 08:58:34,Twitter for iPhone,0,0,Positive
149,"@windisoekamto Mohon maaf atas ketidaknyamananya, akan kami sampaikan kepada divisi terkait.",1154307081278640128,92,2019-07-25 08:27:08,Twitter for iPhone,0,0,Positive
150,@myuxvin Sejauh ini akan ada fase 2 dari Bundaran HI ke Kota kak,1154255820625809408,64,2019-07-25 05:03:27,Twitter for iPhone,0,0,Negative
151,@DenliMuwaffaqah 1 penumpang 1 kartu,1154236502596976641,36,2019-07-25 03:46:41,Twitter for iPhone,0,0,Positive
152,"@karina_luluina Mohon maaf atas ketidaknyamanannya, akan kami sampaikan kepada divisi terkait.",1154212230084173824,94,2019-07-25 02:10:14,Twitter for iPhone,0,0,Positive
153,@ggracehm Terima kasih telah menggunakan MRT Jakarta.,1154212040166166528,53,2019-07-25 02:09:29,Twitter for iPhone,0,0,Positive
154,"@NPaluPi Mohon maaf atas ketidaknyamannya , akan kami sampikan kepada pihak stasiun.",1154210995209830400,84,2019-07-25 02:05:20,Twitter for iPhone,0,0,Positive
